1 -0.517572 0.85564
2 -0.799757 0.600324
3 0.90481 -0.425816
4 -0.0572132 -0.998362
5 0.999996 0.00292236
6 0.267903 0.963446
7 0.807025 -0.590517
8 0.852999 0.521913
9 0.516948 -0.856017
10 -0.881295 -0.472567
11 0.808109 -0.589032
12 0.550405 -0.834898
13 -0.047683 0.998863
14 -0.585323 -0.8108
15 -0.36507 -0.93098
16 -0.958288 0.285803
17 -0.876211 0.481928
18 -0.239858 0.970808
19 0.992943 0.118595
20 0.993352 -0.115116
21 -0.117033 -0.993128
22 -0.996517 -0.0833868
23 -0.581745 -0.813371
24 -0.794171 -0.607695
25 0.945107 -0.326761
26 -0.208111 0.978105
27 0.876024 -0.482268
28 0.839096 0.543984
29 0.704517 -0.709687
30 -0.254014 -0.9672
31 0.863075 0.505076
32 -0.998823 0.0485003
33 -0.966203 -0.257781
34 0.497145 0.867667
